"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"npc_extraservices","How can I help you?","How can I help you?","Jak vám mohu pomoci?","Womit kann ich Ihnen behilflich sein?","Чем я могу помочь?","Jak mogę ci pomóc?","Miben segíthetek?","Come posso aiutarla?","¿Como puedo ayudarlo?","Comment puis-je vous aider?","我怎么帮你","どんな御用でしょうか？","Como posso ajudá-lo?","我怎么帮你",
"ip_hunting","Hunting","Hunting","Lov","Jagd","Охота","Polowanie","Vadászat","A caccia","Caza","Chasse","狩猎","狩猟","Caça","狩猎",
"ip_huntingmdf","Improving your hunting skill by ","Improving your hunting skill by ","Vylepšuje tvé lovecké dovednosti o ","Verbesserst du deine Jagdfähigkeiten durch ","Навык охоты улучшен!","Poprawa umiejętności polowania","A vadászati ​​készségek fejlesztése","Migliorare la tua capacità di caccia","Mejorando su capacidad de caza por","Améliorer votre capacité de chasse par","提高你的狩猎技巧","狩猟スキルを向上させます","Melhorando sua habilidade de caça por","提高你的狩猎技巧",
"ip_huntingrequiredskill_to_skin","To gutting body is required level","To gutting body is required level","K vyvrhnutí těla je vyžadována úroveň","Zur Teilstücke des Fleisches ist ein Niveau erforderlich.","Для разделки требуется навык охоты","Wymagany jest poziom na wynos ciała","A test kimeneteléséhez szintre van szükség","Per stimare il corpo richiede il livello","Para estimar el cuerpo requiere nivel","Estimer le corps nécessite un niveau","对解剖要求水平","体をガッツにすることが必須レベルです","Para estripar o corpo é necessário nível","对解剖要求水平",
"ip_huntingdamagemdf","Bonus damage to animals ","Bonus damage to animals ","Bonusové poškozeni zvěře ","Bonusschaden an Tieren ","Дополнительный урон по животным","Obrażenia bonusowe gry","Bónuszkárosodás a játéknak","Danno bonus agli animali","Daño adicional a los animales","Dommages aux animaux bonus","对动物的额外伤害","動物へのボーナスダメージ","Dano bônus aos animais","对动物的额外伤害",
"ip_you_have_improved_your_hunting_skill","You have improved your hunting skill","You have improved your hunting skill","Právě sis vylepšil své lovecké dovednosti","Du hast dein Jagdgeschick verbessert","Ты улучшил охотничьи навыки","Właśnie poprawiłeś swoje umiejętności polowań","Most javította a vadászatát","Hai migliorato la tua capacità di caccia","Has mejorado tu habilidad de caza","Vous avez amélioré votre capacité de chasse","你已经提高了你的狩猎技巧","狩猟スキルが向上しました","Você melhorou sua habilidade de caça","你已经提高了你的狩猎技巧",
"ip_resistence","Radiation resistance","Radiation resistance","Odolnost proti radiaci","Strahlungsfestigkeit","Сопротивление радиации","Odporność na promieniowanie","Sugárzási ellenállás","Resistenza alle radiazioni","Resistencia a la radiación","Résistance au rayonnement","抗辐射","放射線抵抗","Resistência à radiação","抗辐射",
"ip_resistancemdf","Increasing your radiation resistance by ","Increasing your radiation resistance by ","Zvýší vaší odolnost proti radiaci o ","Erhöhung deiner Strahlungsresistenz über ","Сопротивляемость радиации улучшена на","Zwiększy twoją opór na promieniowanie o","Növeli a sugárzás elleni ellenállását o","Aumentando la sua resistenza alle radiazioni di","Aumentando su resistencia a la radiación por","Augmenter sa résistance au rayonnement par","增加你的抗辐射能力","放射線抵抗を増やします","Aumentando sua resistência à radiação por","增加你的抗辐射能力",
"ip_you_have_gained_natural_radiation_resistance","You have gained natural radiation resistance","You have gained natural radiation resistance","Získal si přirozenou odolnost proti radiačnímu záření","Du hast eine natürliche Strahlenresistenz erlang","Теперь ты лучше переносишь радиацию","Zyskał naturalną odporność na promieniowanie promieniowania","Természetes ellenállást szerzett a sugárzás sugárzása ellen","Hai guadagnato la naturale resistenza alle radiazioni","Has ganado resistencia natural a la radiación","Vous avez acquis une résistance naturelle aux rayonnements","你已经获得了天然的抗辐射能力","あなたは自然放射線抵抗を獲得しました","Você ganhou resistência natural à radiação","你已经获得了天然的抗辐射能力",
"ip_toxicresistence","Toxic resistance","Toxic resistance","Odolnost proti chemikáliím","Strahlungsfestigkeit","Сопротивление токсину","Odporność chemiczna","Kémiai ellenállás","Resistenza tossica","Resistencia tóxica","Résistance toxique","抗毒气","毒性耐性","Resistência tóxica","抗毒气",
"ip_toxicresistancemdf","Increasing your toxic resistance by ","Increasing your toxic resistance by ","Zvýší vaší odolnost proti chemikáliím o ","Erhöhung deiner Strahlungsresistenz über ","Сопротивляемость токсину улучшена на","Zwiększy twoją odporność na chemikalia o","Növeli a vegyi anyagokkal szembeni ellenállását o","Aumentando la resistenza tossica di","Aumentando su resistencia tóxica por","Augmenter votre résistance toxique par","增加你的抗毒气能力","あなたの毒性抵抗を増やします","Aumentando sua resistência tóxica por","增加你的抗毒气能力",
"ip_you_have_gained_natural_toxic_resistance","You have gained natural toxic resistance","You have gained natural toxic resistance","Získal si přirozenou odolnost proti toxickým látkám","Du hast eine natürliche Giftresistenz gewonnen","Вы приобрели естественную устойчивость к токсину","Zyskał naturalną odporność na substancje toksyczne","Természetes ellenállást kapott a mérgező anyagokkal szemben","Hai guadagnato la naturale resistenza tossica","Ganaste resistencia tóxica natural","Vous avez acquis une résistance toxique naturelle","你获得了天然的抗毒气能力","あなたは自然な毒性耐性を獲得しました","Você ganhou resistência tóxica natural","你获得了天然的抗毒气能力",
"npc_medicalexamination","Medical examination","Medical examination","Lékařské vyšetření","ärztliche Untersuchung","Медицинский осмотр","Badanie lekarskie","Orvosi vizsgálat","Esame medico","Examen médico","Examen médical","体检 挂号费:","健康診断","Exame médico","体检 挂号费:",
"me_medical_record","Medical record","Medical record","Chorobopis","Krankenakte","Медицинская карта","Medyczny","Orvosi","Cartella medica","Historial médico","Dossier médical","医疗记录","医療記録","Registro médico","医疗记录",
"me_dna_cloning","DNA cloning","DNA cloning","Klonování DNA","DNA-Klonierung","Клонирование ДНК","Klonowanie","Klónozás","Clonazione del DNA","Clonación de ADN","Clonage d'ADN","DNA克隆","DNAクローニング","Clonagem de DNA","DNA克隆",
"me_disease_pozitive","positive","positive","pozitivní","positiv","положительный","pozytywny","pozitív","Positivo","Positivo","Positif","积极的","ポジティブ","Positivo","积极的",
"me_disease_negative","negative","negative","negativní","negativ","отрицательный","negatywny","negatív","Negativo","Negativo","Négatif","消极的","ネガティブ","Negativo","消极的",
"me_influenza_desc","influenza","influenza","chřipka","Grippe","Грипп","grypa","influenza","Influenza","Influenza","Grippe","流感","インフルエンザ","Influenza","流感",
"me_commoncold_desc","common cold","common cold","nachlazení","Erkältung","Простуда","zimno","hideg","Costipazione comune","Estreñimiento común","Constipation commune","普通感冒","風邪","Constipação comum","普通感冒",
"me_braindisease_desc","brain disease","brain disease","onemocnění mozku","Gehirnerkrankung","Болезнь мозга","choroba mózgu","agybetegség","Malattia cerebrale","Enfermedad cerebral","Maladie du cerveau","脑病","脳疾患","Doença cerebral","脑病",
"me_cholera_desc","cholera","cholera","cholera","Cholera","Холера","cholera","kolera","Colera","Cólera","Choléra","霍乱","コレラ","Cólera","霍乱",
"me_fever_desc","fever","fever","horečka","Fieber","Высокая температура","gorączka","láz","Febbre","Fiebre","Fièvre","发烧","熱","Febre","发烧",
"me_salmonella_desc","salmonella","salmonella","salmonela","Salmonellen","Сальмонелла","Salmonella","szalmonella","Salmonella","Salmonela","Salmonelle","沙门氏菌","サルモネラ","Salmonella","沙门氏菌",
"me_woundinfection_desc","wound infection","wound infection","infekce rány","Wundinfektion","Раневая инфекция","infekcja rany","sebfertőzés","Infezione della ferita","Infección en la herida","Infection de la plaie","伤口感染","創傷感染","Infecção da ferida","伤口感染",
"me_poisoning_desc","food poisoning","food poisoning","otrava z jídla","Lebensmittelvergiftung","Пищевое отравление","zatrute jedzenie","ételméreg","Avvelenamento del cibo","Intoxicación alimentaria","Intoxication alimentaire","食物中毒","食中毒","Intoxicação alimentar","食物中毒",
"me_radiationdisease_desc","radiation sickness","radiation sickness","nemoc z ozáření","Strahlenkrankheit","Лучевая болезнь","oświetlenie","megvilágítás","Malattia di radiazioni","Enfermedad de la radiación","Maladie des radiations","放射病","放射線疾患","Doença de radiação","放射病",
"me_frostbite_desc","frostbites","frostbites","omrzliny","Erfrierungen","Обморожение","odmrożenie","fagyás","Ice Burns","Quemaduras de hielo","Glace brûle","冻伤","霜","Queimaduras de gelo","冻伤",
"me_brokenarms_desc","broken arm","broken arm","zlomená ruka","gebrochener Arm","Сломана рука","złamana ręka","törött kéz","Braccio rotto","Brazo roto","Bras cassé","断臂","折れた腕","Braço quebrado","断臂",
"me_brokenlegs_desc","broken leg","broken leg","zlomená noha","gebrochenes Bein","Сломана нога","złamana noga","törött láb","Gamba rotta","Pierna rota","Jambe cassée","断腿","骨折","Perna quebrada","断腿",
"me_bleeding_desc","bleeding","bleeding","krvácení","Blutung","Кровотечение","krwawienie","vérzés","Sanguinamento","Sangrado","Saignement","伤口流血","出血","Hemorragia","伤口流血",
"me_poisoningchemical_desc","chemical poisoning","chemical poisoning","otrava chemikáliemi","chemische Vergiftung","Химическое отравление","Zatrucie chemiczne","vegyi mérgezés","Chimico","Químico","Chimique","化学中毒","化学中毒","Químico","化学中毒",
"dna_saved_desc","saved DNA sample","saved DNA sample","uložený vzorek DNA","gespeicherte DNA-Probe","Сохраненный образец ДНК","Przechowywana próbka DNA","tárolt minta DNS","Campione di DNA salvato","Muestra de ADN guardada","Échantillon d'ADN enregistré","保存的DNA样本","DNAサンプルを保存しました","Amostra de DNA salva","保存的DNA样本",
"dna_current_desc","your current DNA","your current DNA","vaše aktuální DNA","deine aktuelle DNA","Твоя текущая ДНК","Twoje obecne DNA","A jelenlegi DNS -je","DNA attuale","ADN actual","ADN actuel","你目前的DNA","あなたの現在のDNA","DNA atual","你目前的DNA",
"dna_save_desc","save a sample of your DNA","save a sample of your DNA","uložit vzorek tvé DNA","Speichern Sie eine Probe Ihrer DNA","Сохранить образец своей ДНК","Zapisz próbkę DNA","Mentse el a DNS -mintáját","Recupero del tuo DNA salvato","Recuperación de su ADN guardado","Récupération de votre ADN enregistré","保存您的DNA样本","DNAのサンプルを保存します","Recuperação de seu DNA salvo","保存您的DNA样本",
"dna_recovery_desc","recovery your saved DNA","recovery your saved DNA","obnovit vaši uloženou DNA","Wiederherstellen Sie Ihre gespeicherte DNA","Восстановить твою сохраненную ДНК","Przywróć przechowywane DNA","Helyezze vissza a tárolt DNS -t","Recupera il tuo DNA salvato","Recupera tu ADN guardado","Récupérez votre ADN enregistré","恢复您保存的DNA","保存したDNAを回復します","Recuperar seu DNA salvo","恢复您保存的DNA",
"me_drunkenness_desc","drunkenness","drunkenness","opilost","Trunkenheit","Опьянение","zatrucie","mámor","Goccetta","Adarme","Dribblet","酒醉","酩酊","Embriaguez","酒醉",
"me_immunity_desc","immunity Level","immunity Level","úroveň imunity","Immunität Level","Иммунитет","poziom odporności","immunitás szintje","Livello di immunità","Nivel de inmunidad","Niveau d'immunité","免疫水平","免疫レベル","Nível de imunidade","免疫水平",
