"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_alp_geiger_desc","A Geiger counter is an instrument used for detecting and measuring ionizing radiation. Also known as a Geiger-Mueller counter (or Geiger-Müller counter), it is widely used in applications such as radiation dosimetry, radiological protection, experimental physics, and the nuclear industry.","A Geiger counter is an instrument used for detecting and measuring ionizing radiation. Also known as a Geiger-Mueller counter (or Geiger-Müller counter), it is widely used in applications such as radiation dosimetry, radiological protection, experimental physics, and the nuclear industry.","Geigerův počítač je přístroj používaný k detekci a měření ionizujícího záření. Také známý jako Geiger-Muellerův počítač (nebo Geiger-Müllerův počítač), je široce používán v aplikacích, jako je radiační dozimetrie, radiační ochrana, experimentální fyzika a jaderný průmysl.","Ein Geigerzähler ist ein Instrument zur Erfassung und Messung ionisierender Strahlung. Auch als Geiger-Müller-Zähler (oder Geiger-Müller-Zähler) bekannt, wird er häufig in Anwendungen wie der Strahlendosimetrie, dem Strahlenschutz, der experimentellen Physik und der Nuklearindustrie eingesetzt.","Счётчик Гейгера - это прибор, используемый для обнаружения и измерения ионизирующего излучения. Также известный как счетчик Гейгера-Мюллера, он широко используется в таких отраслях, как дозиметрия излучения, радиологическая защита, экспериментальная физика и ядерная промышленность.","Komputer Geigera to urządzenie używane do wykrywania i pomiaru promieniowania jonizującego. Znany również jako komputer Geigera-Muellera (lub komputer Geigera-Müllera) jest szeroko stosowany w zastosowaniach takich jak dozymetria promieniowania, ochrona promieniowania, fizyka eksperymentalna i przemysł jądrowy.","A Geiger számítógépe egy olyan eszköz, amelyet az ionizáló sugárzás észlelésére és mérésére használnak. A Geiger-Mueller számítógépének (vagy a Geiger-Müller számítógépének) más néven széles körben használják olyan alkalmazásokban, mint a sugárzás dozimetriája, a sugárzás, a kísérleti fizika és a nukleáris ipar.","Un contatore Geiger è uno strumento utilizzato per rilevare e misurare le radiazioni ionizzanti, è ampiamente utilizzato in applicazioni come dosimetria a radiazioni, protezione radiologica, fisica sperimentale e industria nucleare. (Translation_Gelouko_OTera)","Un contador de Geiger es un instrumento utilizado para detectar y medir la radiación ionizante, se usa ampliamente en aplicaciones como dosimetría de radiación, protección radiológica, física experimental e industria nuclear. (Traducción_gelouko_otera)","Un compteur Geiger est un instrument utilisé pour détecter et mesurer les rayonnements ionisants, est largement utilisé dans des applications telles que la dosimétrie des radiations, la protection radiologique, la physique expérimentale et l'industrie nucléaire. (Traduction_gelouko_otera)","辐射计数器是一种用于探测和测量电离辐射的仪器它也被称为盖革-穆勒计数器，广泛应用于辐射剂量测定，辐射防护，实验物理和核工业等应用，它能在左下角显示你的辐射摄入计量和数值 翻译人POP_XIAN QQ314074311","ガイガーカウンターは、電離放射線の検出と測定に使用される機器です。 Geiger-Muellerカウンター（またはGeiger-Müllerカウンター）としても知られており、放射線測定、放射線保護、実験物理学、原子力産業などの用途で広く使用されています。","Um contador Geiger é um instrumento usado para detectar e medir a radiação ionizante, é amplamente utilizado em aplicações como dosimetria de radiação, proteção radiológica, física experimental e indústria nuclear.   (Tradução_Gelouko_Otera)","辐射计数器是一种用于探测和测量电离辐射的仪器它也被称为盖革-穆勒计数器，广泛应用于辐射剂量测定，辐射防护，实验物理和核工业等应用，它能在左下角显示你的辐射摄入计量和数值 翻译人POP_XIAN QQ314074311",
"STR_alp_radbarel_name","Radioactive barrel","Radioactive barrel","Radioaktivní sud","Radioaktives Fass","Радиоактивная бочка","Radioaktywna lufa","Radioaktív hordó","Barile radioattivo","Barril radiactivo","Baril radioactif","放射性桶","放射性バレル","Barril radioativo","放射性桶",
"STR_alp_radbarel_desc","This barrel contains very dangerous radioactive material. Manipulation is not allowed.","This barrel contains very dangerous radioactive material. Manipulation is not allowed.","Tento sud obsahuje vysoce radioaktivní materiál. Manipulace s ním je vyloučena.","Dieses Fass enthält sehr gefährliches radioaktives Material. Manipulationen sind nicht erlaubt.","Эта бочка содержит очень опасный радиоактивный материал. Взаимодействие не допускается.","Ta lufa zawiera wysoce radioaktywny materiał. Manipulacja z nim jest wykluczona.","Ez a hordó nagyon radioaktív anyagot tartalmaz. A manipuláció vele kizárva van.","Questa canna contiene materiale radioattivo molto pericoloso. La manipolazione non è consentita.","Este barril contiene material radiactivo muy peligroso. La manipulación no está permitida.","Ce baril contient des matières radioactives très dangereuses. La manipulation n'est pas autorisée.","这个桶里装有非常危险的放射性物质谨慎打开但或许它里面有物资","このバレルには、非常に危険な放射性物質が含まれています。操作は許可されていません。","Este barril contém material radioativo muito perigoso. A manipulação não é permitida.","这个桶里装有非常危险的放射性物质谨慎打开但或许它里面有物资",
"action_decontamination","Decontamination","Decontamination","Dekontaminace","Dekontamination","Обеззараживание","Odkażenie","Fertőtlenítés","Decontaminazione","Descontaminación","Décontamination","去污","除染","Descontaminação","去污",
"alp_str_cfgliquiddefinitions_contaminedwater0","Contaminated water","Contaminated water","Kontaminovaná voda","Kontaminiertes Wasser","Заражённая вода","Skażona woda","Szennyezett víz","Acqua contaminata","Agua contaminada","Eau contaminée","被污染的水","汚染水","Água contaminada","被污染的水",
"alp_inv_inspect_contaminedwater","CONTAMINATED WATER","CONTAMINATED WATER","KONTAMINOVANÁ VODA","KONTAMINIERTES WASSER","ЗАРАЖЁННАЯ ВОДА","Skażona woda","Szennyezett víz","Acqua contaminata","Agua contaminada","Eau contaminée","被污染的水","汚染水","ÁGUA CONTAMINADA","被污染的水",
"alp_inv_inspect_contamined_c_water","CONTAMINATED COLD WATER","CONTAMINATED COLD WATER","KONTAMINOVANÁ STUDENÁ VODA","KONTAMINIERTES KALTWASSER","ЗАРАЖЁННАЯ ХОЛОДНАЯ ВОДА","Zanieczyszczona zimna woda","Szennyezett hideg víz","Acqua fredda contaminata","Agua fría contaminada","Eau froide contaminée","受污染的冷水","汚染された冷水","ÁGUA FRIA CONTAMINADA","受污染的冷水",
"STR_koruny_description","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Neoficiální měna po globální katastrofě","Inoffizielle Währung nach globaler Apokalypse","Неофициальная валюта, которая появилась в ходу после апокалипсиса","Nieoficjalna waluta po globalnej katastrofie","Nem hivatalos valuta globális katasztrófa után","Valuta non ufficiale dopo l'apocalisse globale. (Translation_Gelouko_OTera)","Moneda no oficial después del apocalipsis global. (Traducción_gelouko_otera)","Devise non officielle après l'apocalypse globale. (Traduction_gelouko_otera)","全球末日后的非官方货币","グローバルな黙示録の後の非公式の通貨","Moeda não oficial após o apocalipse global.    (Tradução_Gelouko_Otera)","全球末日后的非官方货币",
"STR_koruny_name","CZK","CZK","Kč","CZK","Крона","CZK","Czk","CZK","Bíblico","CZK","捷克币","CZK","CZK","捷克币",
"STR_usd_name","USD","USD","USD","USD","Доллар США","USD","usadollár","Dollaro statunitense","Dólar estadounidense","USD","美元","米ドル","USD","美元",
"STR_korunyRare_description","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Zlaté 'obchodní' mince neražené pro běžný oběh","Goldmünzen, die nicht für den normalen Umlauf geprägt wurden","Золотые "бизнес" монеты, не выпущенные для обычного обращения","Gold „Business” monety niezaangażowane w normalne krążenie","Arany „üzleti” érmék nem invocáltak a normál keringéshez","Monete d'oro del business non cedute per la normale circolazione","Monedas de oro de negocios no cedidas para la circulación normal","Business Gold Coins non cédé pour une circulation normale","它不是正常流通的货币,但它比较稀有一定有很大的用处","通常の循環のために造られていない金の「ビジネス」コイン","Moedas de ouro 'business' não cunhadas para circulação normal","它不是正常流通的货币,但它比较稀有一定有很大的用处",
"STR_korunyRare1_name","Golden ducat","Golden ducat","Zlatý dukát","Goldener Dukat","Золотой дукат","Złoty Ducat","Arany ducat","D'oro","Dorado","Doré","金币","ゴールデンドゥカット","Ducado dourado","金币",
"trader_buing_title","Here is all I have.","Here is all I have.","Tady je vše co mám.","Das ist alles, was ich habe.","Вот что у меня есть на продажу.","Oto wszystko, co mam.","Itt van minden, ami van.","Ecco tutto quello che ho.","Aquí está todo lo que tengo.","Voici tout ce que j'ai.","交易员的现金..","これが私が持っているすべてです。","Aqui está tudo o que tenho.","交易员的现金..",
"trader_selling_title","I give you best price for it...","I give you best price for it...","Neboj neošidím tě...","Ich gebe dir den besten Preis dafür ...","Куплю по хорошей цене...","Nie martw się o ciebie ...","Ne aggódj miatta ...","Ti do il miglior prezzo ...","Te doy el mejor precio ...","Je vous donne le meilleur prix ...","我给你的最低价...","私はあなたにそれのために最高の価格を与えます...","Te dou o melhor preço...","我给你的最低价...",
"trader_your_stuff","Your stuff","Your stuff","Tvoje věci","Dein Zeug","Твои вещи","Twoje rzeczy","A cuccaid","Le tue cose","Tus cosas","Tes choses","你的东西","あなたのもの","Suas coisas","你的东西",
"trader_filtr_button","Search","Search","Vyhledej","Suche","Поиск","Wyglądać","Néz","Cercare","Buscar","Rechercher","搜索","探す","Procurar","搜索",
"trader_list_name","Item name","Item name","Název předmětu","Item name","Наименование","Nazwa tematu","A téma neve","Nome dell'elemento","Nombre del árticulo","Nom de l'article","项目名称","項目名","Nome do item","项目名称",
"trader_list_requiredlevel","Required Tier","Required Tier","Požadovaná úroveň","Erforderliche Stufe","Необходимый ранг","Wymagany poziom","Szint szükséges","Livello richiesto","Nivel requerido","Niveau requis","所需的层","必要な層","Nível exigido","所需的层",
"trader_list_Bcost","Purchase price","Purchase price","Nákup","Kaufpreis","Покупка","Zakup","Vásárlás","Prezzo d'acquisto","Precio de compra","Prix ​​d'achat","买价","購入金額","Preço de compra","买价",
"trader_list_Scost","Selling price","Selling price","Prodej","Verkaufspreis","Продажа","Sprzedaż","Eladás","Prezzo di vendita","Precio de venta","Prix ​​de vente","卖价","販売価格","Preço de venda","卖价",
"trader_list_stock","In stock","In stock","Na skladě","Auf Lager","В наличии","W magazynie","Raktáron","In magazzino","En stock","En stock","现有库存","在庫あり","Em estoque","现有库存",
"trader_list_cart","In cart","In cart","V košíku","Im Wagen","В корзине","W koszyku","Kosárban","Nel carrello","Tener problemas","Dans le panier","在购物车里的","カートで","No carrinho","在购物车里的",
"trader_store_title","Warehouse","Warehouse","Sklad zboží","das Lager","Склад","Magazyn","Raktár","Conservazione","Almacenamiento","Stockage","仓库","倉庫","Armazém","仓库",
"trader_category_title","Category","Category","Kategorie","Kategorie","Категория","Kategoria","Kategória","Categoria","Categoría","Catégorie","种类","カテゴリー","Categoria","种类",
"trader_filtr_title","Filter","Filter","Filtr","Filter","Фильтр","Filtr","Szűrő","Filtro","Filtrar","Filtre","过滤器","フィルター","Filtro","过滤器",
"trader_cart_clear","Empty the cart","Empty the cart","Vysypat košík","Leere den Wagen","Очистить корзину","Wylać kosz","Öntsön ki a kosár","Svuotare il carrello","Vacío del carrito","Videz le chariot","空的购物车","カートを空にします","Esvazie o carrinho","空的购物车",
"trader_cart_confirm","Confirm","Confirm","Potvrdit","Bestätigen","Подтвердить","Potwierdzać","megerősít","Confermare","Confirmar","Confirmer","确定","確認","Confirme","确定",
"trader_cart_money","Cash","Cash","Hotovost","Bargeld ","Наличные","Gotówka","Készpénz","Contanti","Dinero","En espèces","现金","現金","Dinheiro","现金",
"trader_cart_items","Total items","Total items","Celkem položek","Gesamtanzahl","Всего товаров","W sumie","Összesen","Articoli totali","Articulos totales","Articles au total","总项目","合計アイテム","Total de Itens","总项目",
"trader_cart_costs","Total amount","Total amount","Celková částka","Gesamtmenge","Общая сумма","Całkowita kwota","teljes összeg","Importo totale","Cantidad total","Montant total","总数","合計金額","Montante total","总数",
"trader_cart_balance","Balance","Balance","Zůstatek","Kontostand","Баланс","Saldo","Egyensúly","Equilibrio","Balance","Solde","余额","バランス","Equilíbrio","余额",
"trader_info_loading","Loading data","Loading data","Nahrávám data","Daten laden","Загрузка данных","Rejestruję dane","Rögzítem az adatokat","Dati di ricarica","Datos de carga","Données de charge","加载数据","データのロード","Carregando dados","加载数据",
"trader_info_true","Transaction was successful.","Transaction was successful.","Transakce proběhla v pořádku.","Transaktion war erfolgreich.","Операция прошла успешно","Transakcja była w porządku.","A tranzakció rendben volt.","La transazione ha avuto successo.","La transacción fue exitosa.","La transaction a réussi.","事件是成功的","トランザクションは成功しました。","A transação foi bem-sucedida.","事件是成功的",
"trader_info_false","Some items couldn't be traded.","Some items couldn't be traded.","Některé položky nebyly zobchodovány.","Einige Gegenstände konnten nicht gehandelt werden.","Не удалось продать некоторые предметы","Niektóre przedmioty nie były handlowe.","Néhány tétel nem volt kereskedelem.","Alcuni articoli non potevano essere negoziati.","Algunos artículos no se pueden negociar.","Certains articles n'ont pas pu être négociés.","有些物品无法交易","一部のアイテムは取引できませんでした。","Alguns itens não puderam ser negociados.","有些物品无法交易",
"trader_info_tip","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB add item into the cart. MMB info about item. RMB remove item from the cart.","LMB přidat do košíku. MMB náhled produktu. RMB odebrat z košíku.","LMT Artikel in den Wagen legen. MMT Info über Artikel. RMT Artikel aus dem Warenkorb entfernen.","ЛКМ - добавить в корзину, СКМ - информация о предмете, ПКМ - убрать из корзины","LMB, aby dodać do koszyka. Przegląd produktu MMB. RMB do usunięcia z kosza.","LMB, hogy hozzáadhassa a kocsihoz. A termék MMB előnézete. RMB eltávolítás a kosárból.","LMB Aggiungi articolo al carrello. Informazioni MMB sull'articolo. RMB rimuove l'articolo del carrello.","LMB Agregar elemento al carrito. Información MMB sobre el artículo. RMB elimina el artículo del carrito.","LMB Ajouter un élément au panier. Informations MMB sur l'article. RMB supprime l'article du panier.","LMB-添加项目到购物车.MMB-项目信息.RMB-从购物车中移除物品。  ","LMBはカートにアイテムを追加します。アイテムに関するMMB情報。人民元はカートからアイテムを取り外します。","LMB adicionar item ao carrinho. Informações do MMB sobre o item. RMB remove item do carrinho.","LMB-添加项目到购物车.MMB-项目信息.RMB-从购物车中移除物品。  ",
"trader_info_noroom","You don´t have place in inventory.","You don´t have place in inventory.","Nemáš místo v inventáři.","Du hast keinen Platz im Inventar.","Недостаточно места в инвентаре","Nie masz miejsca w ekwipunku.","Nincs helyed a leltárban.","Inventario completo.","Inventario completo.","Inventaire complet.","你在库存中没有位置","在庫の場所はありません。","Inventário cheio.","你在库存中没有位置",
"trader_info_notpossible","Not possible.","Not possible.","Nedostupné.","Nicht möglich.","Невозможно завершить операцию.","Niedostępne.","Nem érhető el.","Non è possibile.","No es posible.","Ce n'est pas possible.","不可以","ありえない。","Não é possivel.","不可以",
"trader_enter","You are in trade zone.","You are in trade zone.","Jsi v obchodní zóně.","Du bist in der Handelszone.","Ты вошёл в торговую зону.","Jesteś w strefie biznesowej.","Ön az üzleti zónában van.","Sei nella zona commerciale.","Estás en el área comercial.","Vous êtes dans la zone commerciale.","你在贸易区","あなたは貿易ゾーンにいます。","Você está na zona da trade.","你在贸易区",
"trader_left","You left trade zone.","You left trade zone.","Opustil si obchodní zónu.","Du hast die Handelszone verlassen.","Ты вышел из торговой зоны.","Opuścił strefę handlową.","Elhagyta a kereskedelmi zónát.","Hai lasciato l'area commerciale","Dejaste el área comercial","Vous avez quitté la zone commerciale","你离开了贸易区","あなたは貿易ゾーンを去りました。","Você saiu da zona da trade","你离开了贸易区",
"trader_selling_cat_vehicle","Vehicle","Vehicle","Dopravní prostředek","Fahrzeug","Транспорт","Środki transportu","A közlekedési eszközök","veicolo","vehículo","véhicule","交通工具","車両","veiculo","交通工具",
